"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Analysing Dissenting Votes Through Electronic Justice From Online Posts to Streets: A Real Case","L. Estevez Mendoza; J. Cano","San Pablo CEU University, Madrid, Spain; San Pablo CEU University, Madrid, Spain","2019 Sixth International Conference on eDemocracy & eGovernment (ICEDEG)","13 Jun 2019","2019","","","64","68","This paper brings us a vision of what dissenting votes mean in an eSociety, particularly linked to eJustice, and a real case in Spanish jurisdictional process. As soon as judicial decision has an increasing repercussion, our hyper-connected society and social networks on the Internet take a relevant influential role, giving a never before seen feedback to the Judiciary. Easy access to case law, jurisdictional texts and judicial decisions in electronic form are elements with great impact, surpassing traditional publicity. An interesting case of study related to electronic media, and particularly through social networks, has been the dissenting vote of the rape case called “The Wolfpack”, known as “La manada” in Spain, that has crossed the borders of electronic protests to the streets, with demonstrations and reactions against it, particularly from feminist movements. Our hypothesis is that dissenting vote as an eSociety conceptualization has an electronic-digital component whose easy diffusion through the Internet makes it different from the traditional concept. It changes from being an ordinary procedural mechanism within a restricted scope of decision, to opening a debate at citizenship level. It involves nuances on transparency in the digital society, and of course in the idea of Open Justice as part of Open Government initiatives. As a field experience and methodological system, we will use electronic justice ICT tools, such as web-based HJ of the Constitutional Court of Spain and others to explore these considerations analytically.","2573-1998","978-1-7281-1704-1","10.1109/ICEDEG.2019.8734366","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8734366","dissenting vote;eSociety;eJustice;Judiciary;eGovernment;Open government;digital society","Law;Social networking (online);Tools;Media;Internet;Gender issues","government data processing;Internet;law administration;social networking (online);social sciences computing","electronic media;social networks;dissenting vote;rape case;electronic protests;electronic justice ICT tools;votes;online posts;Spanish jurisdictional process;judicial decision;hyper-connected society;jurisdictional texts;electronic form;open justice;electronic-digital component;Internet;eSociety conceptualization;feminist movements;digital society","","","","10","","13 Jun 2019","","","IEEE","IEEE Conferences"
"Using Formal Verification and Robotic Evolution Techniques to Find Contradictions in Laws Concerning Police Rules of Engagement","T. Sun; L. Sun; M. Perkowski",NA; NA; NA,"2012 IEEE 42nd International Symposium on Multiple-Valued Logic","11 Jun 2012","2012","","","45","49","There are thousands of laws and regulations in the United States, ranging from the local to the state to the federal level. The sheer number of laws increases the probability that some of these laws may contradict each other. In recent years in the City of Portland, many controversial instances of police officers using force have occurred. In this project we used formal verification and robot programming techniques to validate and find contradictions in laws that govern police use of force. We constructed a model of police officers and bystanders in a robot ""game"" using the NuSMV software and development language. Temporal logic, which uses a subset of modal logic, along with predicate calculus is used to produce a computational logic tree, which simulates all possibilities in the model. Robot movement is used to model state evolution. We inserted statutes and case law into our model to dictate the behaviors of the actors, in the process developing a formal method of translating laws into operational predicate modal logic clauses. Finally, we run a process to check through the computation tree to find contradictions. Our final results found several contradictions, some of them obvious enough to be used as argument in real court cases, and suggest the legal code should be seriously cleaned up so as to prevent confusion and uncertainty. Our work also suggests that formal verification techniques can be applied to drug laws, tax laws, and other legal venues.","2378-2226","978-1-4673-0908-0","10.1109/ISMVL.2012.58","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6214781","NuSMV;Contradictions in Law;Formal Verification;Model-Checking","Law;Boolean functions;Force;Computational modeling;Computers;Data structures","criminal law;formal verification;police;robot programming;temporal logic","formal verification;robotic evolution;police rules of engagement;United States;police officers;robot programming;robot game;NuSMV software;development language;temporal logic;computational logic tree;operational predicate modal logic clauses","","","","28","","11 Jun 2012","","","IEEE","IEEE Conferences"
"Practical fingerprint analysis process and challenges both internal and external for the latent print community","G. C. Warner","Analytic Services, Inc., Arlington VA, USA","2012 IEEE Conference on Technologies for Homeland Security (HST)","14 Feb 2013","2012","","","384","389","An awareness of friction ridge skin [fingerprints] can be traced to China in a period of history 300 years B.C. Other watershed events in the history of fingerprints are found through recorded history as well as in works of fiction. There was a shared hypothesis among the early investigators that fingerprints may be permanent, unchanging, and individually unique. Many of these early researchers' works were unknown to one another. Today, fingerprints are used worldwide by law enforcement and others for personal identification. The U.S. rules of evidence and case law like Frye [1] and Daubert [2] have been effective in keeping junk science from U.S. court rooms. Recently, the science of fingerprints, and other patterned evidence disciplines, has come into question. The 2009 critique by the National Research Council (NRC), National Academy of Sciences (NAS) entitled Strengthening Forensic Science in the United States: A Path Forward [3], points to some questions.","","978-1-4673-2709-1","10.1109/THS.2012.6459879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6459879","fingerprints;validation;ACE-V;AFIS","Fingerprint recognition;Laboratories;Forensics;Surface treatment;History;Thumb","fingerprint identification","fingerprint analysis process;latent print community;friction ridge skin;China;watershed event;law enforcement;personal identification;fingerprint science;National Research Council;NRC;National Academy of Sciences;NAS","","2","","12","","14 Feb 2013","","","IEEE","IEEE Conferences"
"Security games for vehicular networks","S. Buchegger; T. Alpcan","Deutsche Telekom Laboratories, Ernst-Reuter-Platz 7, D-10587 Berlin, Germany; Deutsche Telekom Laboratories, Ernst-Reuter-Platz 7, D-10587 Berlin, Germany","2008 46th Annual Allerton Conference on Communication, Control, and Computing","4 Mar 2009","2008","","","244","251","Vehicular ad-hoc networks (VANETs) enabling vehicle-to-vehicle (V2V) and vehicle-to-infrastructure (V2I) communications is an emerging research field aiming to improve transportation security, reliability, and management. To better understand networking and security aspects of VANETs, we have been investigating network connectivity issues and mappings of car networks to the underlying road topology. Using this mapping and various metrics, we locate hot-spots in vehicular networks to determine the most vulnerable points for jamming. We also use these to optimize the placement of roadside units. To this end, we first develop quantitative measures for assessment of the importance of road segments in the context of security and traffic flow. We then use game theoretic analysis to investigate the effects of possible malicious users on the system for increased reliability and better management of resources. For example, we study the optimal deployment of traffic control and security infrastructure both in the static (roadside units) and dynamic case (law enforcement units). We use realistic simulation data, obtained from traffic scientists, as input to our models as well as to evaluate the effectiveness of countermeasures.","","978-1-4244-2925-7","10.1109/ALLERTON.2008.4797563","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4797563","","Roads;Traffic control;Ad hoc networks;Transportation;Telecommunication network reliability;Network topology;Jamming;Fluid flow measurement;Communication system traffic control;Game theory","ad hoc networks;game theory;mobile radio;telecommunication network management;telecommunication network reliability;telecommunication security;telecommunication traffic","vehicular ad-hoc networks;security games;vehicle-to-vehicle communications;vehicle-to-infrastructure communications;transportation security;system reliability;resource management;network connectivity;car networks;road topology;traffic flow;game theoretic analysis;traffic control","","5","","19","","4 Mar 2009","","","IEEE","IEEE Conferences"
"Harmonizing Criminal Law Provisions on Money Laundering - A Litmus Test of European Integration","T. Hyttinen; S. Heinikoski","Faculty of Law, University of Turku, Turku, Finland; Department of Philosophy, Political Science and Contemporary, History University of Turku, Turku, Finland","2018 European Intelligence and Security Informatics Conference (EISIC)","8 Jul 2019","2018","","","31","38","This article discusses the harmonization of penal provisions concerning money laundering in the European Union (EU), in particular, the recent Commission proposal for a Directive on tackling money laundering by criminal law (COM(2016) 826 final). The perspective is both legal and political, pointing out to the different legal solutions in the European Union and analyzing the development from a European integration perspective, particularly in terms of a so-called spill-over process, whereby integration in one field leads to integration in adjacent fields. We put forward two main arguments in this article: (1) We argue that in order for the spillover to succeed in a field crucial for national sovereignty such as criminal law, spill-over needs to be complemented with securitization and policy laundering, the latter referring to the phenomenon whereby issues are agreed at an international nonbinding arena in order to later introduce these “international standards” into binding legislation. (2) We argue that harmonization in the money laundering context provides an example of a successful spill-over enhanced by policy laundering and securitization; tackling money laundering ostensibly requires spilling over European integration also in the field of criminal law, a core issue of national sovereignty. A testament to this is the fact that European countries have even harmonized their criminalization of self-laundering, although punishable self-laundering has been previously considered contrary to the general doctrines and principles of criminal law in many countries. A case in point is Finland, the only country bound by the proposed directive where parties to the crime are not punished for money laundering, except in rare cases and there is no case law for self-laundering (Section 11 Chapter 32 of the Criminal Code of Finland).","","978-1-5386-9400-8","10.1109/EISIC.2018.00013","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8753065","European Union;criminal law;money laundering;spill-over;integration theory;securitization;policy laundering","","criminal law;legislation","European integration perspective;securitization;policy laundering;harmonization;money laundering context;European countries;punishable self-laundering;criminal law provisions;European Union","","","","32","","8 Jul 2019","","","IEEE","IEEE Conferences"
"Transformation of the Perpetual Usufruct Right Into the Ownership of a Real Property Estate","P. Wysocki","Fac. of Civil & Environ. Eng., Gdansk Univ. of Technol., Gdansk, Poland","2016 Baltic Geodetic Congress (BGC Geomatics)","23 Aug 2016","2016","","","276","281","In addition to the ownership, there is in Poland the so-called perpetual usufruct right, which is an intermediate form between ownership and limited property rights. It allows for long-term use of the land which is not our ownership. Makes it possible to mortgage a property, is transferable and inheritable. The article describes the legal regulations governing the establishment and functioning of the perpetual usufruct, and the conditions under which it is possible to transform it into full ownership. The publication presents contentious issues which causes the Act of 29 July 2005 on Transformation of Perpetual Usufruct into the Ownership of the Real Property. It also includes case-law of the administrative courts and the Constitutional Court on this matter. Finally, the author presents proposals for changes in the law, which he believes would organize the process of transformation of the perpetual usufruct right into ownership.","","978-1-5090-2421-6","10.1109/BGC.Geomatics.2016.56","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7548042","land use planning;law enforcement;environmental management;perpetual usufruct;ownership;real property","Law;Art;Urban areas;Buildings;Loans and mortgages;Transforms","land use;land use planning","perpetual usufruct right transformation;real property estate ownership;Poland;AD 2005 07 29","","","","17","","23 Aug 2016","","","IEEE","IEEE Conferences"
"Legal Ontology for Open Government Data Mashups","M. Mockus; M. Palmirani","CIRSFID, Univ. of Bologna, Bologna, Italy; CIRSFID, Univ. of Bologna, Bologna, Italy","2017 Conference for E-Democracy and Open Government (CeDEM)","21 Sep 2017","2017","","","113","124","An important pillar of Linked Open Government Data is to be able to mix datasets by using common ontologies in order to infer new knowledge. The open government datasets to be mashed-up by developers may be subject to distinct licenses, legal notices, terms of use, and applicable law and regulations from multiple jurisdictions. Within this complex ecosystem there is a need to create semi-automatic tools supported by an ontology to help technical reusers of Public Sector Information to utilize datasets according to their intended purpose and in compliance with the legal obligations that govern the rights to reuse the data. Unfortunately, some researchers may avoid considering all the legal frameworks that apply in the domain of Open Government Data and limit their investigation to only the area of licenses. To enable wider, compliant utilisation of mashed-up open data, we have analysed the European Union (EU) legal framework of reuse of Public Sector Information (PSI), the EU Database Directive and copyright framework and other legal sources (e.g., licenses, legal notices, terms of use) that can apply to open government Datasets. From this deep analysis we now model several major concepts in an Ontology of Open Government Data Licenses Framework for a Mash-up Model (OGDL4M). There have been earlier ontologies for creative commons or open licenses, but they did not anticipate the other legal constraints that arise from Open Government regulations. The OGDL4M ontology will be used for qualifying datasets in order to improve the accuracy of their legal annotation. The Ontology also aims to connect each applicable legal rule to official legal texts in order to direct legal experts and reusers to primary sources. This paper aims to present the modules of the OGDL4M ontology in depth and to describe some preliminary evaluation.","","978-1-5090-6719-0","10.1109/CeDEM.2017.25","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8046278","open government data mash-up;licensing of open government data;legal ontology","Law;Ontologies;Licenses;Databases;Government;Terminology","copyright;government data processing;law administration;Linked Data;ontologies (artificial intelligence)","legal ontology;open government data mashups;Linked Open Government Data;Public Sector Information;mashed-up open data;European Union legal framework;EU Database Directive;copyright framework;legal sources;Open Government Data Licenses Framework for a Mash-up Model;OGDL4M ontology;legal annotation","","1","","34","","21 Sep 2017","","","IEEE","IEEE Conferences"
"Smart Governance on Taxation: Tax Data Integration through Host-to-Host e-Invoices towards Collaborative Compliance in Indonesia","N. Kintan Farrasati; Murwendah","Universitas Indonesia,Faculty of Administrative Science,Department of Fiscal Administrative Science,Depok,Indonesia; Universitas Indonesia,Faculty of Administrative Science,Department of Fiscal Administrative Science,Depok,Indonesia","2020 International Conference on ICT for Smart Society (ICISS)","4 Jan 2021","2020","CFP2013V-ART","","1","8","Information technology has an essential role in efforts to improve tax compliance in Indonesia. The collaborative compliance approach utilizes information technology expected to build mutual trust in a new era of relations between taxpayers and tax authorities in increasing the tax ratio in Indonesia. During numerous disputes and misuse of tax invoices, tax reform was conducted by utilizing technology to provide convenience in implementing taxpayer's rights and obligations. Furthermore, using technology, it is expected to improve the quality of tax authority services. This research was conducted to analyze the Piloting Project of Tax Data Integration using Host-to-Host (H2H) e-Invoice to implement collaborative compliance as one of the government's efforts to implement smart governance to handle tax evasion issues. This research was conducted using a post-positivist approach with qualitative methods with innovation in the tax compliance concept. The data collection was carried out through in-depth interviews conducted through studies at PT X. The results showed that the application of the tax data integration program at PT X went quite well, viewed based on the dimensions of law enforcement, provision of facilities, and trust. In this case, law enforcement activities related to taxpayer supervision carried out better and more efficiently since there has been an increased competence of tax authorities in carrying out their duties. Providing tax facilities by providing convenience to the taxpayers may influence taxpayer compliance in carrying out its tax obligations. Facilities provision may also affect the dimension of trust where trust between actors leads to a better direction. The implementation of this program creates mutual trust and mutual understanding between PT X and tax authorities.","2640-0545","978-1-6654-0422-8","10.1109/ICISS50791.2020.9307587","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307587","Smart Governance;Tax Data Integration;Value Added Tax (VAT);Host-to-Host e-Invoice;Innovations in Tax Compliance","Finance;Technological innovation;Government;Data integration;Monitoring;Law enforcement;Information technology","data acquisition;data integration;government data processing;government policies;taxation","Indonesia;information technology;mutual trust;tax authorities;tax ratio;tax invoices;tax reform;tax authority services;government;smart governance;tax evasion;tax compliance;tax data integration program;tax facilities;taxpayer compliance;tax obligations;host-to-host e-invoices;collaborative compliance;taxpayer rights;taxpayer obligations;H2H e-invoice;post-positivist approach;data collection;PT X;law enforcement","","","","25","","4 Jan 2021","","","IEEE","IEEE Conferences"
"Selecting the cases that defined Europe: Complementary metrics for a network analysis","F. Tarissan; Y. Panagis; U. Šadl","Université Paris-Saclay, ISP, ENS Cachan, CNRS, Cachan, France; iCourts Centre of Excellence for International Courts, Faculty of Law, Copenhagen, Denmark; iCourts Centre of Excellence for International Courts, Faculty of Law, Copenhagen, Denmark","2016 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)","24 Nov 2016","2016","","","661","668","Do case citations reflect the “real” importance of individual judgments for the legal system concerned? This question has long been puzzling empirical legal scholars. Existing research typically studies case citation networks as a whole applying traditional network metrics stemming from graph theory. Those approaches are able to detect globally important cases, but since they do not take time explicitly into account, they cannot provide a comprehensive account of the dynamics behind the network structure and its evolution. In this paper we provide such a description, using two node importance metrics that take time into account to study important cases in the Court of Justice of the European Union over time. We then compare cases deemed as important by the metrics, with a set of 50 cases selected by the Court as the most important (landmark) cases. Our contribution is twofold. First, with regard to network science, we show that structural and time-related properties are complementary, and necessary to obtain a complete and nuanced picture of the citation network. Second, with regard to the case law of the Court, this study provides empirical evidence clarifying the motivation of the Court when selecting the landmark cases, revealing the importance of symbolic and historical cases in the selection. In addition, the temporal analysis sheds new light on the network properties specific to the landmark cases that distinguishes them from the rest of the cases. We validate our results by providing legal interpretations that sustain the highlights provided by the proposed network analysis.","","978-1-5090-2846-7","10.1109/ASONAM.2016.7752308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7752308","Citation networks;Directed acyclic graphs;Relative in-degree;Average longevity;Authority scores;European Court of Justice","Law;Europe;Context;Measurement;Electronic mail;Web search","directed graphs;law administration;network theory (graphs)","network analysis;complementary metrics;legal system;node importance metrics;Court of Justice;European Union;network science;citation network;landmark cases;symbolic cases;historical cases;temporal analysis;network properties;legal interpretations","","3","","25","","24 Nov 2016","","","IEEE","IEEE Conferences"
"Modeling and Advanced Exploitation of eChronicle ‘ Narrative' Information","G. P. Zarri","University Paris 4/Sorbonne, France","22nd International Conference on Data Engineering Workshops (ICDEW'06)","24 Apr 2006","2006","","","x110","x110","In this paper, we describe NKRL (Narrative Knowledge Representation Language), a conceptual modeling formalism for taking into account the semantic characteristics of this important component of eChronicle information represented by the ‘narrative’ documents. In these documents, the main part of the information consists in the description of the ‘events’ that relate the real or intended behavior of some ‘actors’. Narrative documents of an industrial and economic interest correspond to news stories, corporate documents, normative and legal texts, intelligence messages, medical records, etc. NKRL employs several representational principles and some high-level inference tools.","","0-7695-2571-7","10.1109/ICDEW.2006.95","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1623903","","Knowledge representation;Ontologies;Law;Legal factors;Industrial economics;Concrete;Building materials;Humans;Underwater vehicles;Avatars","","","","1","","14","","24 Apr 2006","","","IEEE","IEEE Conferences"
"Using Models to Enable Compliance Checking Against the GDPR: An Experience Report","D. Torre; G. Soltana; M. Sabetzadeh; L. C. Briand; Y. Auffinger; P. Goes","University of Luxembourg; University of Luxembourg; University of Luxembourg; University of Luxembourg; University of Ottawa; Linklaters LLP, Luxembourg; Linklaters LLP, Luxembourg","2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS)","21 Nov 2019","2019","","","1","11","The General Data Protection Regulation (GDPR) harmonizes data privacy laws and regulations across Europe. Through the GDPR, individuals are able to better control their personal data in the face of new technological developments. While the GDPR is highly advantageous to individuals, complying with it poses major challenges for organizations that control or process personal data. Since no automated solution with broad industrial applicability currently exists for GDPR compliance checking, organizations have no choice but to perform costly manual audits to ensure compliance. In this paper, we share our experience building a UML representation of the GDPR as a first step towards the development of future automated methods for assessing compliance with the GDPR. Given that a concrete implementation of the GDPR is affected by the national laws of the EU member states, GDPR's expanding body of case law and other contextual information, we propose a two-tiered representation of the GDPR: a generic tier and a specialized tier. The generic tier captures the concepts and principles of the GDPR that apply to all contexts, whereas the specialized tier describes a specific tailoring of the generic tier to a given context, including the contextual variations that may impact the interpretation and application of the GDPR. We further present the challenges we faced in our modeling endeavor, the lessons we learned from it, and future directions for research.","","978-1-7281-2536-7","10.1109/MODELS.2019.00-20","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8906896","General Data Protection Regulation, Regulatory Compliance, UML, OCL.","","","","","3","","35","","21 Nov 2019","","","IEEE","IEEE Conferences"
"Establishing Reusable Requirements Derived from Laws and Regulations for Medical Device Development","D. Hauksdóttir; B. Ritsing; J. C. Andersen; N. H. Mortensen","Sect. of Eng. Design & Product Dev., Tech. Univ. of Denmark, Lyngby, Denmark; Test Eng. & Design Controls, Novo Nordisk Device R&D, Hillerød, Denmark; Test Eng. & Design Controls, Novo Nordisk Device R&D, Hillerød, Denmark; Sect. of Eng. Design & Product Dev., Tech. Univ. of Denmark, Lyngby, Denmark","2016 IEEE 24th International Requirements Engineering Conference Workshops (REW)","16 Jan 2017","2016","","","220","228","For many industries a key activity in product development is to demonstrate legislative compliance by showing, explicitly, that all relevant requirements from regulatory documents have been identified and addressed. The analysis and interpretation of standards and regulations requires considerable skills and consumes significant effort in product development. Therefore initiating reuse from the analysis and elicitation of requirements from standards and regulations may provide promising potential for gaining efficiency in development and also for assuring sufficient quality of the work. In this paper, a method to manage requirements from standards, by establishing a reusable requirements catalogue, is suggested and a metamodel illustrating the information needed for tractability between derived requirements and legal texts, needed to facilitate reuse, is demonstrated. The paper presents a case study, where reusable requirements covering secondary packaging for medical injection devices were established, using a spreadsheet layout to capture and document the information presented in the metamodel.","","978-1-5090-3694-3","10.1109/REW.2016.045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7815628","Requirements engineering;Requirements reuse;Regulatory compliance;Medical device development","Standards;Law;Product design;Conferences;Layout;Requirements engineering","biomedical equipment;document handling;law;product development;spreadsheet programs;standards;systems analysis","information capture;spreadsheet layout;standards;regulatory documents;product development;medical device development;regulations;laws;reusable requirements","","1","","11","","16 Jan 2017","","","IEEE","IEEE Conferences"
"Malaysia: Bioethics as a biosecurity measure for monitoring genetic engineering activities against the threat of bioterrorism","M. A. Majid","School of History, Politics and Strategy, Faculty of Social Sciences and Humanities, National University of Malaysia (UKM), 43600 Bangi, Malaysia","2012 IEEE Colloquium on Humanities, Science and Engineering (CHUSER)","27 May 2013","2012","","","1","9","Malaysia's proactive position in promoting biotechnology has also spurred scientists in local universities and research institutions to adopt genetic engineering techniques for the betterment of their research. However, Malaysian scientists must increasingly be aware that genetic engineering can either be used for benevolent or malevolent purposes triggering the dual use dilemma. This is because certain materials, information and technology can not only be utilized for military and civilian purposes but also for criminal and terrorist activities. Therefore, this research has the purpose of examining the actions to be taken by Malaysia to censor the forms, methods, results and acquisition of knowledge of genetic engineering from being misused. Underlying Malaysia's actions is the bioethical principle, that is, the duty to prevent harm which is relevant to this research. It is proposed that the actions Malaysia should take are to be embedded within provisions of the Biosafety Act 2007 and its regulation. The method relied for this research is one that is qualitative in analyzing primarily the Biosafety Act 2007, international organization documents from websites, a case law and secondary resources. The results from this research indicate that the Biosafety Act 2007 can be utilized in order to achieve the said purpose of this research through existing provisions while in certain instances, amendments to some provisions which are unclear or inadequate together with the Biosafety (Approval and Notification) 2010 Regulations needs to be done.","","978-1-4673-4617-7","10.1109/CHUSER.2012.6504271","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6504271","Genetic engineering;laboratory biosecurity;bioethics;bioterrorism;Biosafety Act 2007","","biohazards;biotechnology;ethical aspects;genetic engineering;government policies;terrorism","Biosafety Act;bioethical principle;biotechnology;genetic engineering activities;bioterrorism;biosecurity measurement","","1","","40","","27 May 2013","","","IEEE","IEEE Conferences"
"LVCSR Speech Database - JURISDIC","G. Demenko; S. Grocholewski; K. Klessa; J. Ogórkiewicz; A. Wagner; M. Lange; D. Śledziński; N. Cylwik","Institute of Linguistics, Adam Mickiewicz University, Poznań, Poland; Institute of Computing Science, Poznań University of Technology, Poland; Institute of Linguistics, Adam Mickiewicz University, Poznań, Poland; Laboratory of Speech and Language Technology, Adam Mickiewicz University Foundation, Poznań, Poland; Institute of Linguistics, Adam Mickiewicz University, Poznań, Poland; Laboratory of Speech and Language Technology, Adam Mickiewicz University Foundation, Poznań, Poland; Institute of Linguistics, Adam Mickiewicz University, Poznań, Poland; Institute of Linguistics, Adam Mickiewicz University, Poznań, Poland","New Trends in Audio and Video / Signal Processing Algorithms, Architectures, Arrangements, and Applications SPA 2008","28 Jul 2011","2008","","","67","72","In the paper an overview of the Polish Speech Database for taking dictation of legal texts, created for the purpose of LVCSR system for Polish in the frame of Polish Platform for Homeland Security (PPBW) is presented. Basic information about the design of the database is provided as well as the applied method of the text corpora construction and the database structure. Fundamental details on the recording conditions and equipment are specified, followed by the description of the assessment methodology of recording quality, and the annotation specification and evaluation. Moreover, the paper contains the information about both the ongoing and planned stages of the database development process.","2326-0319","978-1-4577-1660-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5967591","","Speech;Programming;Java;Databases","speech recognition","LVCSR speech database;Polish Platform for Homeland Security;PPBW;text corpora construction;database structure;database development process;JURISDIC","","1","","15","","28 Jul 2011","","","IEEE","IEEE Conferences"
"Formalising Traffic Rules for Accountability of Autonomous Vehicles","A. Rizaldi; M. Althoff","Lehrstuhl fur Robotik und Echtzeitsysteme, Tech. Univ. Munchen, Garching, Germany; Lehrstuhl fur Robotik und Echtzeitsysteme, Tech. Univ. Munchen, Garching, Germany","2015 IEEE 18th International Conference on Intelligent Transportation Systems","2 Nov 2015","2015","","","1658","1665","One significant barrier in introducing autonomous driving is the liability issue of a collision; e.g. when two autonomous vehicles collide, it is unclear which vehicle should be held accountable. To solve this issue, we view traffic rules from legal texts as requirements for autonomous vehicles. If we can prove that an autonomous vehicle always satisfies these requirements during its operation, then it cannot be held responsible in a collision. We present our approach by formalising a subset of traffic rules from the Vienna Convention on Road Traffic for highway scenarios in Isabelle/HOL.","2153-0017","978-1-4673-6596-3","10.1109/ITSC.2015.269","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7313361","","Vehicles;Roads;Cost accounting;Mobile robots;Law","control engineering computing;mobile robots;road traffic;road vehicles;theorem proving","traffic rule formalization;autonomous vehicle accountability;autonomous vehicles collision;road traffic;Isabelle/HOL","","35","1","23","","2 Nov 2015","","","IEEE","IEEE Conferences"
"Integration of UAS in existing air traffic management systems connotations and consequences","I. A. Wilson","Airspace Operations Efficiency, Boeing Research & Technology, Chantilly, VA","2018 Integrated Communications, Navigation, Surveillance Conference (ICNS)","14 Jun 2018","2018","","","2G3-1","2G3-7","The current airspace rules have evolved over a century of manned flight. This is not to say that they are ideal but they are known and all operators apply them. This paper examines the issues raised by integrating UAS in the existing `air traffic management systems' and airspace, and, the connotations of the integration and the subsequent consequences for both manned and unmanned aircraft. `Integration' means fitting in with the current operators in the airspace and with those users' rules and behaviors. It does not mean setting up UAS reservations, otherwise known as UAS Traffic Management; nor does it mean adding new rules and regulations that limit the existing manned aviation operations. An indication of the size of the problem in the USA is that there are 230,000 manned aircraft; fixed, wing, helicopters, gliders etc., but there are already 770,000 UAS registered with the FAA (not including those unregistered purchased on EBAY or `toy' stores) So the UAS being integrated are three times more than manned, but the value of the manned aviation sector to the USA is 1.8% GDP and cannot be hazarded. So manned/unmanned integration must be well planned. Yet it is apparent from SESAR and NextGen that the current ATM systems and their ConOps are at their scalability limit adding more aircraft will lead to delays and potentially reduce safety. Even the definition of the airspace is being challenged. It is unclear whether the FAA actually has authority to regulate aircraft operations below 500ft or 400ft or 83ft dependent on which case law is used. Neither is it clear whether State or City laws have precedence over FAA regulation. If deliveries by `drone' are a commercial use case, then not being able to descend below 83ft above ground is a significant limitation that cannot be overcome by throwing money. Existing manned operators are clear that at low level they are in Class G airspace where the Rules of the Air and Visual Flight Rules pertain. But UAS cannot fly Visual Flight Rules so they will fly `Detect and Avoid'. The Rules of the Air require a pecking order of aircraft type avoidance precedence based on seeing and identifying the aircraft type. UAS cannot `detect' the aircraft type so cannot apply the Rules of the Air for example; the flight rules require that a Predator must avoid a hang glider but it cannot sense the other aircraft type so cannot obey the rules of the air. In mandatory IFR airspace the UAS will be required to follow IFR; one of the IFR regulations is on loss of communications an aircraft should follow its last clearance to destination; not loiter or have a `lost link procedure'. Can an IFR UAS that has lost its link to the ground station fly the remainder of the mission including fitting in with an arrival sequence? This paper proposes an approach that could allow the number of aircraft operating be raised by a factor of four and still be safe to operate. The approach fits with the proposed ConOps from SESAR and NextGen of using Trajectory Based Operations. All aircraft would be treated equally whether manned or unmanned but would also be required to follow the same ConOps. It is achievable as it considers that an aircraft is an aircraft regardless of whether it has a pilot on board, and the connotation is that all aircraft should be treated equally but the consequence is that they must all meet the same basic level of capability. The impact on UAS avionics architectures and operations are highlighted and are significant. UAS can be integrated into the current ATM airspace but it will require significant changes in both the UAS systems and the systems analysis approach.","","978-1-5386-5679-2","10.1109/ICNSURV.2018.8384851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8384851","","Aircraft;Air traffic control;Visualization;Aerospace electronics;Instruments;FAA","air traffic control;aircraft;aircraft navigation;autonomous aerial vehicles;avionics;mobile robots","manned aviation sector;aircraft operations;aircraft type avoidance precedence;mandatory IFR airspace;IFR UAS;UAS systems;manned flight;unmanned aircraft;UAS traffic management;manned aircraft;ATM systems;visual flight rules;air traffic management systems;manned aviation operations;ATM airspace;airspace rules;manned-unmanned integration;SESAR;NextGen;ConOps;FAA regulation;drone;trajectory based operations;UAS avionics architectures","","5","","4","","14 Jun 2018","","","IEEE","IEEE Conferences"
